"","IM00","IM02","IM04","IM06","IM09","IM12","IM18","IM24","IM48"
"Hs.121575",0.802629706,0.835955842,0.785695336,0.788953003,0.762857445,0.780272428,0.811671598,0.796145907,0.801284808
"Hs.122523",1.02229377,1.055335971,1.043609563,1.044831264,0.9980867,1.08542678,1.174902875,1.101851212,1.002528748
"Hs.122926",0.480184623,0.435818218,0.678160802,0.702370978,0.826700142,0.801270165,0.868887003,0.940366139,0.952499099
"Hs.12341",0.943612531,0.962896598,0.948939287,0.954676638,0.92507748,0.929580928,0.953628751,1.028955632,1.15579853
"Hs.1239",0.725560243,0.739853547,0.713858679,0.750034418,0.72740812,0.744676423,0.748459271,0.686423868,0.72738933
"Hs.12409",0.945893619,0.958863531,0.978379241,0.918014191,0.995771101,0.936921415,0.990571952,0.98417075,0.977801968
"Hs.124161",0.158407019,0.148043973,0.123776407,0.139912016,0.138262249,0.172541939,0.192630876,0.275140459,0.196025611
"Hs.12420",1.091697444,1.10993886,1.204209889,1.170424055,1.161253387,1.31151226,1.158394207,1.21525417,1.17333638
"Hs.124503",0.935636085,0.751921027,0.889949396,0.80916598,0.967462964,0.843546554,0.807195331,0.832581771,0.8753367
"Hs.125113",0.751883733,0.766952907,0.738727963,0.752570931,0.695458246,0.689920095,0.637486082,0.74486496,0.704692945
"Hs.125180",3.446984353,3.843463419,5.781930921,5.543862246,7.068274749,4.919356651,5.848360552,8.610892797,8.710442577
"Hs.125898",0.872592782,0.884632661,0.825261836,0.824337634,0.801073242,0.918695636,0.881953641,0.921382957,0.877838373
"Hs.126256",1.001970508,1.031421744,1.022628465,1.010863907,0.963712405,0.947549335,0.943966599,0.914427133,0.926527964
"Hs.1270",0.95481548,0.881700233,0.803814937,0.869409056,0.857429092,0.866938204,0.860586536,0.909021165,0.826259347
"Hs.128433",1.129869199,1.170193168,1.098162606,1.04373079,1.092730978,1.033505711,1.029498017,1.115725212,1.040199437
"Hs.1288",0.51258764,0.380095417,0.488514491,0.497545596,0.429797556,0.486112634,0.440149952,0.430601646,0.476763189
"Hs.12907",1.15580764,1.057601664,1.046419749,1.085343509,1.093066458,1.022501338,1.123615117,1.179818028,1.507243403
"Hs.129614",0.858376508,0.910508419,0.871595214,0.87209095,0.885538214,0.866844071,0.878725444,0.969716605,0.895736409
"Hs.129706",2.528537212,2.428167306,2.085935924,2.112713871,2.621425363,2.677871476,3.054066954,3.545996265,2.630681444
"Hs.129829",1.096622942,1.068115257,0.978105889,0.987978306,0.975279172,1.062420203,0.973712372,1.134224886,1.013201775
"Hs.129966",4.461002072,4.812908246,4.442516755,4.618175997,5.232638899,6.040391484,7.231028754,7.565298809,7.58010582
"Hs.1309",0.571941301,0.583606713,0.543615827,0.576989335,0.502350822,0.519075949,0.507798266,0.474617749,0.509649799
"Hs.131255",0.488997144,0.565128008,0.632873492,0.621025538,0.640828506,0.612387439,0.64715825,0.63008421,0.60868801
"Hs.131342",0.75646111,0.725667841,0.692109519,0.736236105,0.698439939,0.71874495,0.677202513,0.662181982,0.693035578
"Hs.131704",0.810659699,0.838013798,0.855536251,0.911376491,0.941011637,0.97697038,0.981596722,1.027717516,1.034656648
"Hs.131956",0.364822843,0.377867394,0.35514081,0.381394011,0.321093211,0.376487432,0.342227319,0.323768637,0.350484907
"Hs.1321",0.26733765,0.257843569,0.248180549,0.257255612,0.194960881,0.231370793,0.243730835,0.17944488,0.2445157
